Sign in
Gemini
संयुक्त प्रवेश परीक्षा - उन्नत (JEE Advanced) का ऐतिहासिक और संरचनात्मक विश्लेषण (2005–2026): परीक्षा पैटर्न, अंकन योजना और अनुभाग-वार विस्तृत डेटा
उच्च-स्तरीय मूल्यांकन प्रतिमान का परिचय

भारतीय प्रौद्योगिकी संस्थान (IITs) और अन्य प्रमुख इंजीनियरिंग संस्थानों में प्रवेश के लिए आयोजित होने वाली संयुक्त प्रवेश परीक्षा - उन्नत (JEE Advanced), जिसे पूर्व में IIT-JEE के नाम से जाना जाता था, वैश्विक स्तर पर सबसे कठोर और चुनौतीपूर्ण अकादमिक आकलनों में से एक है । इस परीक्षा की सबसे बड़ी विशेषता इसका अप्रत्याशित (unpredictable) स्वरूप है। मानकीकृत परीक्षाओं के विपरीत, जिनका एक निश्चित ब्लूप्रिंट होता है, JEE Advanced का संचालन करने वाले संस्थान (विभिन्न IITs) जानबूझकर हर साल प्रश्नों की कुल संख्या, अधिकतम अंक, अनुभाग-वार (section-wise) वितरण और अंकन योजना (marking scheme) में बदलाव करते हैं ।   

यह गतिशील संरचना कोई संयोग नहीं है, बल्कि यह एक रणनीतिक साइकोमेट्रिक उपकरण (psychometric tool) है जिसे रटने की प्रवृत्ति (rote memorization) और कोचिंग संस्थानों द्वारा सिखाए जाने वाले पैटर्न-हैकिंग को बेअसर करने के लिए डिज़ाइन किया गया है । यह उम्मीदवारों को वास्तविक समय में अपनी संज्ञानात्मक रणनीतियों (cognitive strategies) को अनुकूलित करने के लिए मजबूर करता है। वर्ष 2005 से 2026 तक के दो दशकों के दौरान, इस परीक्षा ने वर्णनात्मक (subjective) प्रारूप से लेकर कंप्यूटर-आधारित परीक्षण (CBT) तक का सफर तय किया है । इस रिपोर्ट में वर्ष 2005 से 2026 तक के पेपर 1 और पेपर 2 के पैटर्न, पूछे गए प्रश्नों की संख्या, नकारात्मक अंकन (negative marking), और आंशिक अंकन (partial marking) का संपूर्ण डेटा और मनोवैज्ञानिक विश्लेषण प्रस्तुत किया गया है।   

अंकन पद्धतियां: नकारात्मक अंकन (Negative Marking) और आंशिक अंकन (Partial Marking)

JEE Advanced के परीक्षा पैटर्न को समझने के लिए, मूल्यांकन में उपयोग किए जाने वाले दो सबसे महत्वपूर्ण दंड और पुरस्कार तंत्रों को समझना आवश्यक है:

नकारात्मक अंकन (Negative Marking) क्या है?

नकारात्मक अंकन का मुख्य उद्देश्य अंधाधुंध तुक्केबाजी (blind guessing) को रोकना है। जब कोई उम्मीदवार किसी बहुविकल्पीय प्रश्न (MCQ) का गलत उत्तर चुनता है, तो उसके कुल प्राप्त अंकों में से एक निश्चित अंक (जैसे -1 या -2) घटा दिया जाता है ।   

रणनीतिक प्रभाव: यह तंत्र परीक्षा को केवल ज्ञान का परीक्षण नहीं रहने देता, बल्कि इसे जोखिम-मूल्यांकन (risk-assessment) का परीक्षण बना देता है। यदि किसी प्रश्न में +3/-1 की अंकन योजना है, तो उम्मीदवार को उत्तर देने से पहले अपनी सटीकता के प्रति आश्वस्त होना पड़ता है। संख्यात्मक मान प्रकार (Numerical Value Type - NVT) के प्रश्नों में अक्सर कोई नकारात्मक अंकन नहीं होता (0 अंक), क्योंकि वहां बिना विकल्पों के सटीक उत्तर का अनुमान लगाना सांख्यिकीय रूप से असंभव होता है ।   

आंशिक अंकन (Partial Marking / Parcel Marking) क्या है?

आंशिक अंकन (जिसे अक्सर छात्रों द्वारा 'पार्सल मार्किंग' भी कहा जाता है) विशेष रूप से "एक या एक से अधिक सही विकल्प" (Multiple Correct MCQs) वाले प्रश्नों में लागू होता है। 2015 से पहले, इन प्रश्नों में "सभी या कुछ नहीं" (all-or-nothing) का नियम था, जहां एक भी सही विकल्प छूटने पर शून्य या नकारात्मक अंक मिलते थे । 2016 के बाद से, IITs ने उम्मीदवारों के आंशिक ज्ञान को पुरस्कृत करने के लिए एक परिष्कृत आंशिक अंकन प्रणाली शुरू की ।   

आधुनिक आंशिक अंकन का स्वरूप (जैसे +4/-2 योजना में):

+4 अंक (Full Marks): यदि सभी सही विकल्प चुने गए हैं और कोई गलत विकल्प नहीं चुना गया है।

+3 अंक (Partial Marks): यदि प्रश्न के 4 सही विकल्प हैं, लेकिन उम्मीदवार ने केवल 3 सही विकल्प चुने हैं।

+2 अंक (Partial Marks): यदि 3 या अधिक सही विकल्प हैं, लेकिन उम्मीदवार ने केवल 2 सही विकल्प चुने हैं।

+1 अंक (Partial Marks): यदि 2 या अधिक सही विकल्प हैं, लेकिन उम्मीदवार ने केवल 1 सही विकल्प चुना है।

-2 अंक (Negative Marks): यदि उम्मीदवार ने कोई भी एक गलत विकल्प चुन लिया, भले ही उसने अन्य सही विकल्प भी चुने हों ।   

यह -2 का भारी दंड उम्मीदवारों के मन में संज्ञानात्मक असंगति (cognitive dissonance) पैदा करता है, जिससे वे केवल उन्हीं विकल्पों का चयन करते हैं जिनके बारे में वे 100% आश्वस्त होते हैं ।   

मास्टर टेबल: JEE Advanced संपूर्ण अनुभाग-वार परीक्षा पैटर्न (2005–2026)

उपयोगकर्ता की विशिष्ट मांग के अनुसार, वर्ष 2005 से 2026 तक के पेपर 1 और पेपर 2 का संपूर्ण अनुभाग-वार डेटा (प्रत्येक विषय के लिए प्रश्नों की संख्या, अंक और अंकन योजना) नीचे एक ही विस्तृत तालिका (Master Table) में संकलित किया गया है।

(नोट: तालिका में दिया गया डेटा "प्रति विषय" (Per Subject) है। JEE Advanced में भौतिकी (Physics), रसायन विज्ञान (Chemistry) और गणित (Mathematics) तीन विषय होते हैं। इसलिए, पूरे पेपर के कुल प्रश्नों और अंकों को प्राप्त करने के लिए विषय के डेटा को 3 से गुणा किया जाना चाहिए।)

वर्ष (Year)	पेपर (Paper)	अनुभाग (Section)	प्रश्न का प्रकार (Question Type)	प्रश्न प्रति विषय (Qs per Subject)	अंकन योजना (Marking Scheme: Correct, Partial, Incorrect)	अधिकतम अंक प्रति विषय (Max Marks/Subject)
2006 के बाद, IITs ने पेपर संरचना के साथ भारी प्रयोग किए।

कुल अंकों में भारी उतार-चढ़ाव: 2007 में कुल अंक 486 थे , 2008 में 489 , और 2012 में गिरकर 408 हो गए ।   

2010 की विसंगति: 2010 का पेपर छात्रों के सहनशक्ति का एक क्रूर परीक्षण था। पेपर 1 में 84 प्रश्न थे (प्रति विषय 28), जबकि पेपर 2 में केवल 57 प्रश्न थे । इस असमानता ने समय प्रबंधन की पारंपरिक रणनीतियों को पूरी तरह से विफल कर दिया।   

पूर्णांक प्रकार (Integer Type) का उदय: 2009 में पहली बार एकल-अंक पूर्णांक (0-9) प्रकार के प्रश्न पेश किए गए । इसका उद्देश्य ओएमआर (OMR) शीट पर विकल्पों (A, B, C, D) को हटाकर छात्रों को उत्तर तक पहुँचने के लिए मजबूर करना था, जिससे 'विकल्प उन्मूलन' (option elimination) की रणनीति बेकार हो गई।   

चरण 3: आंशिक अंकन (Partial Marking) का परिपक्व होना (2013-2017)

2013 में परीक्षा का नाम बदलकर "JEE Advanced" कर दिया गया । 2013 और 2014 में परीक्षा 360 अंकों (प्रति पेपर 180 अंक, 60 प्रश्न) पर स्थिर प्रतीत हुई ।   

लेकिन 2015 ने इतिहास का सबसे कठोर अंकन देखा। 502 अंकों के इस विशाल पेपर में "एक से अधिक सही विकल्प" वाले प्रश्नों में -2 का नकारात्मक अंकन था, लेकिन कोई आंशिक अंकन (Partial Marking) नहीं था । यदि किसी छात्र ने तीन सही विकल्पों में से केवल दो को चुना, तो उसे +4 के बजाय सीधे -2 मिला। इसने टॉपर्स के स्कोर को भी गंभीर रूप से प्रभावित किया।   

इस संरचनात्मक दोष को सुधारते हुए, संयुक्त प्रवेश बोर्ड (JAB) ने 2016 में आंशिक अंकन प्रणाली (+1, +2, +3) की शुरुआत की । यह एक मनोवैज्ञानिक मास्टरस्ट्रोक था। अब छात्रों को यह तय करना था कि क्या वे एक निश्चित +1 या +2 लेकर संतुष्ट हैं, या वे +4 प्राप्त करने के लिए किसी संदिग्ध विकल्प को चुनकर -2 का जोखिम उठाने को तैयार हैं।   

चरण 4: डिजिटल क्रांति और दशमलव सटीकता (2018-2022)

2018 में, परीक्षा पूरी तरह से कंप्यूटर आधारित टेस्ट (CBT) में बदल गई । यह केवल एक तार्किक बदलाव नहीं था; इसने प्रश्न पूछने के तरीके को बदल दिया।   

संख्यात्मक मान प्रकार (NVT) का प्रभाव: CBT के कारण "दशमलव तक सटीकता" (Numerical Value up to 2 decimal places) वाले प्रश्नों की शुरुआत हुई। जहाँ पहले छात्र OMR पर केवल 0 से 9 तक के बुलबुले भरते थे, अब उन्हें वर्चुअल कीबोर्ड से "11.36" जैसा सटीक उत्तर टाइप करना था ।   

इन NVT प्रश्नों में आमतौर पर +3 या +4 अंक होते हैं और कोई नकारात्मक अंकन नहीं (0 अंक) होता है । हालाँकि, बिना विकल्पों के दशमलव में उत्तर निकालने के लिए भारी गणना (calculation) की आवश्यकता होती है। नकारात्मक अंकन न होने के बावजूद, ये प्रश्न छात्रों का बहुत सारा समय खा जाते हैं। यदि अंत में एक छोटी सी गणना त्रुटि होती है, तो छात्र को 0 अंक मिलते हैं और उसका समय भी बर्बाद हो जाता है।   

चरण 5: आधुनिक स्थिरता और 2026 का ब्लूप्रिंट (2023-2026)

हाल के वर्षों (2023-2026) में, परीक्षा ने 360 अंकों के कुल योग और प्रति पेपर 51 से 54 प्रश्नों के आसपास स्थिरता प्राप्त कर ली है ।
2026 के पेपर पैटर्न ने एक बार फिर सटीकता (accuracy) को प्राथमिकता दी ।   

2026 में नया प्रयोग (Paragraph/Stem NVT): 2026 के पेपर 2 के अनुभाग 4 में अनुच्छेद (Paragraph) आधारित संख्यात्मक मान प्रकार के 4 प्रश्न पूछे गए, जिनमें अंकन योजना +2 (सही) और 0 (गलत) थी ।   

+2 अंक का कम इनाम और नकारात्मक अंकन की अनुपस्थिति जोखिम-इनाम अनुपात (risk-reward ratio) को बदल देती है। चूँकि ये प्रश्न एक ही गद्यांश से जुड़े होते हैं, मूल अवधारणा की गलत समझ से सभी संबंधित प्रश्नों के गलत होने की गारंटी होती है। दंड (penalty) को हटाकर, परीक्षक छात्रों को बिना डर के प्रयास करने के लिए प्रोत्साहित करते हैं, लेकिन इनाम (+2) को कम रखकर यह सुनिश्चित करते हैं कि बिना सोचे-समझे किए गए अनुमान से कुल स्कोर में अनुचित वृद्धि न हो ।   

विषय-वार संज्ञानात्मक भार (Subject-Wise Cognitive Load) और कठिनाई

यद्यपि भौतिकी, रसायन विज्ञान और गणित तीनों विषयों को समान अंक (प्रत्येक पेपर में 60 अंक) दिए जाते हैं, लेकिन इनका अनुभवजन्य कठिनाई स्तर और समय की मांग बहुत भिन्न होती है :   

गणित (Mathematics): ऐतिहासिक और हालिया (2024-2026) डेटा लगातार यह दर्शाता है कि गणित का अनुभाग सबसे लंबा (lengthiest) और गणना-गहन (computationally exhaustive) है । 2024 और 2025 में कैलकुलस और बीजगणित (Algebra) का भारी बोलबाला रहा (कक्षा 12 के पाठ्यक्रम का लगभग 70% भार) । इसके जटिल मैट्रिसेस और बहु-स्तरीय समाकलन (integration) के कारण छात्रों को इस विषय के लिए 3 घंटे में से सबसे अधिक समय आवंटित करना पड़ता है।   

भौतिकी (Physics): भौतिकी अक्सर वैचारिक भेदभाव (conceptual discriminator) के रूप में कार्य करती है। 2026 के विश्लेषणों ने संकेत दिया कि भौतिकी सबसे चुनौतीपूर्ण अनुभाग था, जिसमें एक ही प्रश्न में यांत्रिकी (mechanics) और विद्युत चुंबकत्व (electromagnetism) की अवधारणाओं को मिलाया गया था (जैसे कि इलेक्ट्रोस्टैटिक्स के साथ रोटेशनल डायनामिक्स का परीक्षण) ।   

रसायन विज्ञान (Chemistry): रसायन विज्ञान पारंपरिक रूप से समय बचाने वाले बफर (temporal buffer) के रूप में कार्य करता है। अकार्बनिक (Inorganic) और कार्बनिक (Organic) रसायन विज्ञान के प्रश्न काफी हद तक प्रतिक्रिया तंत्र और तथ्यात्मक ज्ञान पर निर्भर करते हैं, जिससे अच्छी तरह से तैयार उम्मीदवार तेजी से अंक सुरक्षित कर सकते हैं । यह बचा हुआ समय गणित की लंबी गणनाओं में काम आता है। हालांकि, फिजिकल केमिस्ट्री के संख्यात्मक अनुभाग अब भौतिकी के समान ही गणना-गहन हो गए हैं।   

अंततः, 2005 से 2026 तक का यह डेटा यह सिद्ध करता है कि JEE Advanced में सफलता केवल गणितीय या वैज्ञानिक दक्षता का परिणाम नहीं है; यह चरम संज्ञानात्मक भार के तहत अद्वितीय समय प्रबंधन, सटीक जोखिम मूल्यांकन (विशेषकर आंशिक अंकन वाले क्षेत्रों में), और भावनात्मक नियंत्रण पर समान रूप से निर्भर करती है। परीक्षा संचालन समितियों ने हर साल पैटर्न में अप्रत्याशित बदलाव करके यह सुनिश्चित किया है कि केवल वही छात्र IITs में प्रवेश पाएं जो रटे-रटाए पैटर्न के बजाय वास्तविक वैचारिक गहराई और विश्लेषणात्मक चपलता (analytical agility) का प्रदर्शन करते हैं।

Report unsafe content
Opens in a new window
Try Gemini Deep Research
